venue_position_id,new_pay,new_bill
9962,21.85,38.67
3456,23.75,42.04
9682,19.0,33.63
9517,19.0,33.63
9518,21.85,38.67
9515,20.9,36.99
9516,21.85,38.67
917,23.0,40.71
916,23.0,40.71
9267,23.0,40.71
1098,24.0,42.48
1099,20.0,35.4
8965,22.0,38.94
8940,28.25,50.0
9896,21.85,38.67
9894,21.85,38.67
9889,22.8,40.36
9891,21.85,38.67
9892,19.0,33.63
3312,23.75,42.04
3405,20.0,35.4
3311,23.75,42.04
9926,23.75,42.04
9927,25.65,45.4
9401,23.75,42.04
3159,24.27,42.96
3368,24.27,42.96
2892,24.27,42.96
3048,22.27,39.42
8632,24.27,42.96
3656,22.27,39.42
3573,20.0,35.4
9938,23.75,42.04
9937,25.65,45.4
2989,23.0,40.71
4156,21.89,38.75
8513,23.0,40.71
2991,25.0,44.25
2987,20.0,35.4
3340,20.0,35.4
2988,25.0,44.25
2990,23.0,40.71
8883,25.0,44.25
9751,20.9,36.99
9602,21.85,38.67
9475,19.0,33.63
9620,20.9,36.99
8763,23.6,41.77
8761,21.55,38.14
8762,22.57,39.95
2735,20.9,36.99
2732,20.9,36.99
8362,20.9,36.99
8361,20.9,36.99
2734,20.9,36.99
8368,20.9,36.99
2726,20.9,36.99
8370,20.9,36.99
8956,19.95,35.31
8367,19.0,33.63
9615,21.85,38.67
9313,19.95,35.31
2731,20.9,36.99
9530,19.95,35.31
8755,19.95,35.31
2736,21.85,38.67
8690,19.0,33.63
2733,19.0,33.63
2729,20.9,36.99
8369,20.9,36.99
3120,22.18,39.26
2953,22.18,39.26
3121,22.18,39.26
9524,22.18,39.26
3197,22.18,39.26
2224,22.18,39.26
3410,20.28,35.9
3676,20.28,35.9
2225,22.18,39.26
2435,22.18,39.26
9665,20.9,36.99
9664,22.8,40.36
3414,23.75,42.04
3583,23.75,42.04
9623,28.5,50.45
3328,26.6,47.08
8592,20.9,36.99
3309,20.9,36.99
3310,23.75,42.04
4003,23.75,42.04
9412,20.9,36.99
4088,19.0,33.63
3975,20.9,36.99
3950,22.8,40.36
3961,19.0,33.63
3949,20.9,36.99
8788,21.85,38.67
8799,19.0,33.63
8802,20.9,36.99
8798,19.95,35.31
8541,19.95,35.31
8531,19.95,35.31
8530,19.95,35.31
8534,21.85,38.67
8535,19.5,34.52
8533,19.95,35.31
3776,22.8,40.36
8619,20.9,36.99
9905,20.9,36.99
8904,21.85,38.67
8899,19.0,33.63
9027,20.9,36.99
8870,21.85,38.67
8863,19.0,33.63
8875,19.0,33.63
8871,20.9,36.99
9367,22.8,40.36
3287,22.0,38.94
9121,22.0,38.94
3677,22.0,38.94
3671,25.0,44.25
9919,20.0,35.4
3670,20.0,35.4
3761,22.0,38.94
9120,22.0,38.94
4162,23.0,40.71
8997,25.0,44.25
8377,25.0,44.25
8527,25.0,44.25
4133,22.8,40.36
2597,19.0,33.63
4132,21.85,38.67
8566,21.85,38.67
8568,19.0,33.63
8597,20.9,36.99
9773,21.55,38.14
9774,21.55,38.14
9776,21.55,38.14
9772,23.6,41.77
9779,20.52,36.32
9778,21.55,38.14
9775,21.55,38.14
9777,21.55,38.14
8952,20.9,36.99
8983,21.85,38.67
8837,19.0,33.63
9831,20.26,35.87
8939,19.95,35.31
9073,19.95,35.31
9409,21.85,38.67
8779,19.0,33.63
9173,19.95,35.31
9322,23.75,42.04
9683,20.9,36.99
3723,20.9,36.99
3263,20.9,36.99
9753,21.85,38.67
3576,19.0,33.63
3972,19.0,33.63
3248,21.85,38.67
3260,20.9,36.99
3399,20.9,36.99
3334,20.9,36.99
3361,19.0,33.63
3360,19.0,33.63
3278,20.9,36.99
9649,28.5,50.45
9566,28.5,50.45
3359,21.85,38.67
3218,19.0,33.63
3270,28.5,50.45
3335,20.9,36.99
3330,20.9,36.99
9388,21.55,38.14
9389,21.55,38.14
9611,23.6,41.77
2992,23.75,42.04
3011,20.0,35.4
3336,23.75,42.04
2458,18.0,31.86
1531,18.0,31.86
2449,22.0,38.94
2450,22.0,38.94
2448,22.0,38.94
8906,19.0,33.63
1453,23.0,40.71
8907,19.0,33.63
8913,28.5,50.45
8926,19.0,33.63
1454,18.0,31.86
1505,20.9,36.99
9330,22.8,40.36
9508,20.9,36.99
8710,20.9,36.99
9359,20.9,36.99
8716,19.95,35.31
9280,19.95,35.31
9331,21.85,38.67
9360,20.9,36.99
9338,20.9,36.99
8709,20.9,36.99
3055,23.0,40.71
8754,23.0,40.71
617,25.0,44.25
616,20.0,35.4
3053,23.0,40.71
8680,21.85,38.67
8679,20.9,36.99
671,23.0,40.71
2870,20.0,35.4
9511,19.95,35.31
8991,19.95,35.31
8442,19.95,35.31
8937,19.95,35.31
8512,21.85,38.67
8720,19.0,33.63
8443,19.0,33.63
8444,19.95,35.31
9916,23.75,42.04
9915,26.6,47.08
9925,20.26,35.87
9636,18.05,31.95
9425,20.9,36.99
8806,23.0,40.71
9076,23.0,40.71
3372,23.75,42.04
8675,19.95,35.31
3373,23.75,42.04
