date,bonus,client_name,bill_rate,pay_rate,venue_service_charge,msp_rate,wc_rate,event_state,client_worked,employee_worked,shift_start,shift_end,client_start,employee_start,use_sheet,client_seconds,employee_seconds,client_min_bill,employee_min_pay,client_no_bill,employee_no_pay,client_no_break_penalty,employee_no_break_penalty,client_tips,client_parking,client_travel,client_service_charge,employee_tips,employee_parking,employee_travel,employee_service_charge
2026-04-25,0.0,@Palm Springs Surf Club,36.0,23.0,0.0,,0.0827,CA,WORKED,WORKED,2026-04-25 09:00:00,2026-04-25 15:00:00,2026-04-25 08:59:00,2026-04-25 08:59:00,,20760.0,20760.0,,,,,0.0,0.0,,,,,,,,
2026-04-25,0.0,@Palm Springs Surf Club,36.0,23.0,0.0,,0.0827,CA,WORKED,WORKED,2026-04-25 09:00:00,2026-04-25 15:00:00,2026-04-25 09:04:00,2026-04-25 09:04:00,,20940.0,20940.0,,,,,0.0,0.0,,,,,,,,
2026-04-25,0.0,@Palm Springs Surf Club,32.0,21.0,0.0,,0.0827,CA,WORKED,WORKED,2026-04-25 09:00:00,2026-04-25 15:00:00,2026-04-25 09:01:00,2026-04-25 09:01:00,,20520.0,20520.0,,,,,0.0,0.0,,,,,,,,
2026-04-22,0.0,Academy Museum of Motion Pictures,30.0,20.0,0.0,0.12,0.0827,CA,WORKED,WORKED,2026-04-22 12:00:00,2026-04-22 20:30:00,2026-04-22 12:00:00,2026-04-22 12:00:00,,28740.0,28740.0,,,,,0.0,0.0,,,,,,,,
2026-04-23,0.0,Academy Museum of Motion Pictures,30.0,20.0,0.0,0.12,0.0827,CA,WORKED,WORKED,2026-04-23 12:00:00,2026-04-23 20:30:00,2026-04-23 12:06:00,2026-04-23 12:06:00,,29220.0,29220.0,,,,,0.0,0.0,,,,,,,,
2026-04-20,0.0,Amgen Thousand Oaks,35.4,20.0,0.0,0.12,0.0827,CA,WORKED,WORKED,2026-04-20 07:30:00,2026-04-20 15:30:00,2026-04-20 07:30:00,2026-04-20 07:30:00,,27000.0,27000.0,,,,,0.0,0.0,,,,,,,,
2026-04-20,0.0,Amgen Thousand Oaks,42.48,24.0,0.0,0.12,0.0827,CA,WORKED,WORKED,2026-04-20 06:30:00,2026-04-20 14:30:00,2026-04-20 06:30:00,2026-04-20 06:30:00,,27840.0,27840.0,,,,,0.0,0.0,,,,,,,,
2026-04-21,0.0,Amgen Thousand Oaks,42.48,24.0,0.0,0.12,0.0827,CA,WORKED,WORKED,2026-04-21 06:30:00,2026-04-21 14:30:00,2026-04-21 06:30:00,2026-04-21 06:30:00,,28260.0,28260.0,,,,,0.0,0.0,,,,,,,,
2026-04-21,0.0,Amgen Thousand Oaks,35.4,20.0,0.0,0.12,0.0827,CA,WORKED,WORKED,2026-04-21 07:30:00,2026-04-21 15:30:00,2026-04-21 07:30:00,2026-04-21 07:30:00,,27000.0,27000.0,,,,,0.0,0.0,,,,,,,,
2026-04-22,0.0,Amgen Thousand Oaks,42.48,24.0,0.0,0.12,0.0827,CA,WORKED,WORKED,2026-04-22 06:30:00,2026-04-22 14:30:00,2026-04-22 06:30:00,2026-04-22 06:30:00,,27720.0,27720.0,,,,,0.0,0.0,,,,,,,,
