event_date,shift_start,shift_end,client_name,venue_name,position_id,additional_title,position_description
2026-03-01,2026-03-01 02:00:00,2026-03-01 10:00:00,Commerce Casino,Commerce Casino - High Limit Kitchen | FOH | MON - TH,101,with Runner Duties | Overnight shift,Cashier
2026-03-01,2026-03-01 05:00:00,2026-03-01 13:30:00,People Assisting the Homeless,People Assisting the Homeless - YWCA,110,,Prep Cook 2
2026-03-01,2026-03-01 05:00:00,2026-03-01 13:30:00,PIH Health - Whittier Hospital,PIH Health - Whittier Hospital,110,,Prep Cook 2
2026-03-01,2026-03-01 05:30:00,2026-03-01 14:30:00,"Fox Studio Lot, LLC",Fox Studio - Moe's Cafe BoH,102,,Cook 2
2026-03-01,2026-03-01 05:30:00,2026-03-01 14:30:00,"Fox Studio Lot, LLC",Fox Studio - Moe's Cafe BoH,102,,Cook 2
2026-03-01,2026-03-01 06:00:00,2026-03-01 14:00:00,Commerce Casino,Commerce Casino - High Limit Kitchen | FOH | MON - TH,101,with Runner Duties,Cashier
2026-03-01,2026-03-01 06:00:00,2026-03-01 14:00:00,Commerce Casino,Commerce Casino - High Limit Kitchen | FOH | MON - TH,112,with Cashier Duties,Runner
2026-03-01,2026-03-01 06:00:00,2026-03-01 16:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,264,,Event Supervisor
2026-03-01,2026-03-01 06:00:00,2026-03-01 12:00:00,SBLP Warner Center OPCO LLC - The Variel,The Variel of Woodland Hills,102,,Cook 2
2026-03-01,2026-03-01 06:00:00,2026-03-01 14:30:00,VEA Hotel - Newport Beach,VEA Hotel - Newport Beach | Cooks,102,,Cook 2
2026-03-01,2026-03-01 06:30:00,2026-03-01 15:00:00,Childrens Hospital Los Angeles,Childrens Hospital Los Angeles,105,,Dishwasher
2026-03-01,2026-03-01 06:30:00,2026-03-01 15:00:00,NFL LA Huddle Cafe,NFL LA Huddle Cafe,102,,Cook 2
2026-03-01,2026-03-01 07:00:00,2026-03-01 15:00:00,Blue Devils Lessee LLC | Hyatt Centric Delfina Santa Monica,Hyatt Centric Delfina Santa Monica,105,,Dishwasher
