Event Date,Shift Start,Shift End,Client Name,Venue Name,Position ID,Position Title,Additional Title,Shift Position Description
2026-03-01,2026-03-01 02:00:00,2026-03-01 10:00:00,Commerce Casino,Commerce Casino - High Limit Kitchen | FOH | MON - TH,101,Cashier,with Runner Duties | Overnight shift,
2026-03-01,2026-03-01 05:00:00,2026-03-01 13:30:00,People Assisting the Homeless,People Assisting the Homeless - YWCA,110,Prep Cook 2,,"The Cook will prepare and cook family-style meals for residents of a homeless service facility and maintain the sanitation and cleanliness of the kitchen. The cook must abide by all health and safety regulations and have a current food handler’s certificate.
2+ YRS EXP REQUIRED"
2026-03-01,2026-03-01 05:00:00,2026-03-01 13:30:00,PIH Health - Whittier Hospital,PIH Health - Whittier Hospital,110,Prep Cook 2,,
2026-03-01,2026-03-01 05:30:00,2026-03-01 14:30:00,"Fox Studio Lot, LLC",Fox Studio - Moe's Cafe BoH,102,Cook 2,,
2026-03-01,2026-03-01 05:30:00,2026-03-01 14:30:00,"Fox Studio Lot, LLC",Fox Studio - Moe's Cafe BoH,102,Cook 2,,
2026-03-01,2026-03-01 06:00:00,2026-03-01 14:00:00,Commerce Casino,Commerce Casino - High Limit Kitchen | FOH | MON - TH,101,Cashier,with Runner Duties,
2026-03-01,2026-03-01 06:00:00,2026-03-01 14:00:00,Commerce Casino,Commerce Casino - High Limit Kitchen | FOH | MON - TH,112,Runner,with Cashier Duties,"Role will consist of preparing food items, limited cart duties, checking coffee stations, cleaning food prep area on the expo line where food is prepared for bagging/serving, restocking items."
2026-03-01,2026-03-01 06:00:00,2026-03-01 16:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,264,Event Supervisor,,
2026-03-01,2026-03-01 06:00:00,2026-03-01 12:00:00,SBLP Warner Center OPCO LLC - The Variel,The Variel of Woodland Hills,102,Cook 2,,
2026-03-01,2026-03-01 06:00:00,2026-03-01 14:30:00,VEA Hotel - Newport Beach,VEA Hotel - Newport Beach | Cooks,102,Cook 2,,Cook 2
2026-03-01,2026-03-01 06:30:00,2026-03-01 15:00:00,Childrens Hospital Los Angeles,Childrens Hospital Los Angeles,105,Dishwasher,,
2026-03-01,2026-03-01 06:30:00,2026-03-01 15:00:00,NFL LA Huddle Cafe,NFL LA Huddle Cafe,102,Cook 2,,Cook 2
2026-03-01,2026-03-01 07:00:00,2026-03-01 15:00:00,Blue Devils Lessee LLC | Hyatt Centric Delfina Santa Monica,Hyatt Centric Delfina Santa Monica,105,Dishwasher,,
2026-03-01,2026-03-01 07:00:00,2026-03-01 15:30:00,"Fox Studio Lot, LLC",Fox Studio - Moe's Cafe BoH,105,Dishwasher,,
2026-03-01,2026-03-01 07:00:00,2026-03-01 15:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,Cashier,Cashier # 3,
2026-03-01,2026-03-01 07:00:00,2026-03-01 15:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,Cashier,Cashier # 4,
2026-03-01,2026-03-01 07:00:00,2026-03-01 15:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,Cashier,Cashier # 5,
2026-03-01,2026-03-01 07:00:00,2026-03-01 15:00:00,Indian Wells Tennis Garden,Indian Wells Tennis Gardens | Player Dining,101,Cashier,FSA Grab and go # 1,
